,trace,Adduser,Hydra_FTP,Hydra_SSH,Java_Meterpreter,Meterpreter,Web_Shell
0,6 63 6 5 221 6 221 63 6 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 192 192 243 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 45 45 199 102 102 221 221 201 102 168 102 102 168 3 168 102 168 3 168 102 168 102 265 168 102 102 102 265 168 102 102 102 265 168 102 102 197 192 6 4,0,0,0,0,0,0
1,11 33 192 6 33 192 125 5 195 6 6 3 6 3 196 6 6 196 6 196 6 140 140 196 3 140 197 3 221 140 197 3 3 3 140 3 6 196 196 6 196 195 3 45 6 196 195 5 3 45 45 6 196 195 5 221 221 3 45 45 45 6 196 195 5 221 221 3 45 45 45 6 91 45 6 196 91 45 6 196 195 91 45 6 196 195 5 221 221 3 45 45 192 91 45 6 196 195 5 221 221 3 6 196 6 196 195 3 6 196 195 5 221 221 6 196 195 5 221 221 3 6 196 195 91 45 6 196 195 5 221 221 3 45 45 192 91 6 196 195 5 221 221 3 6 196 195 5 6 196 195 5 221 221 6 196 195 5 221 221 3 45 45 192 196 221 6 3 6 3 6 196 6 196 195 45 192 192 4,0,0,0,0,0,0
2,311 240 240 265 3 265 265 221 240 265 221 240 240 265 221 221 265 265 265 221 221 265 265 240 240 265 221 221 265 265 265 221 221 240 265 240 265 240 240 240 265 221 221 265 240 240 265 221 221 240 240 265 221 221 265 265 4 265 221 221 221 265 265 240 240 265 221 240 221 265 240 240 240 265 221 265 140 3 265 265 140 3 265 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 265 265 240 221 240 221 265 240 240 265 221 265 140 3 265 265 140 3 265 221 265 240 240 265 221 221 265 265 240 265 240 221 221 265 265 4 240 240 265 221 265 140 221 240 265 265 265 265 221 221 265 265 240 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 240 240 265 221 221 240 240 265 221 221 265 265 240 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 240 240 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 240 265 240 221 240 265 240 265 240 221 265 140 3 265 265 140 3 265 265 140 3 265 265 265 240 240 265 265 221 265 265 265 240 265 240 240 265 240 265 240 221 265 140 3 265 265 140 3 265 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 265 221 240 265 221 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 265 240 221 221 265 265 4 221 240 265 265 221 221 240 240 240 265 221 221 265 265 240 240 265 221 265 140 3 265 265 240 240 265 221 265 240 240 240 221 265 240 221 240 240 265 221 221 265 265 240 240 265 221 221 240 221 240 240 265 221 221 265 265 240 240 265 221 221 265 265 140 221 265 265 265 265 221 265 265 265 221 240 265 265 265 265 221 265 240 240 265 221 265 240 240 265 221 265 140 3 265 265 140 3 265 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 4 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 265 265 221 221 265 240 240 221 221 240 240 221 265 240 240 265 221 221 265 265 265 221 221 265 265 240 221 265 265 240 240 265 221 221 240 221 240 240 265 221 221 265 265 221 221 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 221 240 265 265 221 221 221 221 240 240 265 221 221 265 265 221 221 265 240 265 240 221 221 221 265 140 3 265 265 140 3 265 221 265 265 4 240 240 265 221 240 240 265 140 3 265 265 140 3 265 221 265 265 4 265 221 221 265 265 265 221 265 140 3 265 265 265 265 265 221 265 265 265 221 221 265 265 265 221 221 265 265 221 221 221 221 221 265 240 240 240 265 221 221 265 265 265 221 240 240 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 265 240 221 265 140 3 265 221 221 265 221 221 221 221 221 240 221 265 265 240 240 240 265 221 221 265 265 240 240 265 221 221 265 265 240 240 265 221 221 265 265 3 221 265 265 240 265 221 221 221 265 265 221 265 265 3 265 265 240 240 221 240 221 221 265 221 240 265 240 221 265 140 3 265 265 140 3 265 221 265 265 240 240 265 221 221 221 240 265 140 3 265 240 240 265 221 221 265 265 4 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 240 240 265 221 240 265 140 3 265 240 265 140 3 265 221 265 265 221 221 240 240 265 221 221 265 265 265 221 221 265 265 265 221 221 265 265 265 240 265 265 265 240 265 265 221 265 221 265 221 221 240 3 265 240 265 240 221 265 140 3 265 265 140 3 265 221 265 265 4 3 240 221 221 265 3 265 265 221 265 265 265 265 265 221 221 221 240 240 221 221 221 221 221 265 265 265 221 265 265 265 221 265 221 265 221 265 3 221 240 221 221 265 265 221 3 3 265 265 221 265 240 265 265 240 240 240 265 221 221 221 265 140 3 265 240 265 140 3 265 221 265 265 240 240 240 265 221 221 240 221 4 240 240 265 221 221 221 265 140 3 265 265 140 3 265 221 265 265 265 221 3 265 240 219,0,0,0,0,0,0
3,91 10 10 91 4 6 91 4 11 45 33 33 5 6 197 33 192 3 5 6 192 197 33 33 6 192 125 125 125 45 45 174 45 45 78 5 197 192 192 6 78 78 45 195 195 195 195 196 196 196 195 195 195 3 3 3 3 3 3 3 3 3 6 3 3 3 3 3 45 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 6 91 33 33 192 192 192 192 192 45 78 13 5 197 197 192 3 140 3 6 91 192 45 45 13 195 174 197 192 13 195 174 174 195 33 33 33 33 5 5 5 221 45 141 195 141 6 33 33 33 33 5 33 33 33 33 5 141 195 5 141 141 6 195 5 141 195 141 6 141 6 33 33 33 33 33 33 4 197 33 5 45 45 6 91 33 33 33 5 3 4 3 4 3 4 33 5 5 5 5 141 5 33 195 33 33 33 91 33 3 33 33 5 33 5 33 33 33 33 140 33 33 33 33 33 91 33 33 33 3 33 33 3 33 5 33 33 33 33 33 33 3 33 33 45 33 33 33 33 33 33 33 33 195 33 33 33 33 6 33 33 140 33 33 33 33 33 91 33 33 33 197 45 33 33 3 33 33 91 33 33 3 33 33 5 33 33 33 33 33 33 33 33 33 33 33 33 33 33 195 33 3 3 4 3 3 3 45 45 4 3 4 33 33 33 3 3 3 33 33 33 33 33 195 4 4 91 33 6 33 33 4 3 45 45 3 45 3 45 45 45 45 45 45 45 45 45 192 45 45 45 3 6 91 3 6 91 4 4 3 4 4 4 4 4 3 4 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 221 4 4 192 91 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 45 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6,0,0,0,0,0,0
4,5 6 6 125 5 33 5 197 33 6 125 125 125 125 268 197 6 160 120 120 102 168 5 3 3 240 168 240 4 168 102 102 168 168 168 168 102 168 102 265 168 168 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 168 168 168 102 168 102 102 168 168 102 102 168 168 102 168 168 102 168 102 102 168 102 168 168 168 102 102 168 168 102 102 168 102 168 102 102 168 168 168 168 102 102 168 168 102 102 168 102 168 168 168 102 102 168 168 168 102 102 168 102 168 102 102 168 168 102 102 168 168 102 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 102 168 168 102 168 102 102 168 168 102 102 168 102 102 168 168 168 102 102 168 102 102 168 168 102 102 168 102 102 168 102 102 168 168 102 102 168 168 102 168 102 102 168 102 168 168 102 102 168 168 102 102 168 168 102 102 102 168 102 102 168 168 102 102 168 168 168 102 102 168 102 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 102 102 168 168 102 102 168 102 168 168 168 102 102 168 168 102 102 168 168 168 168 102 102 168 168 168 168 102 102 168 168 102 102 168 168 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 168 102 102 168 168 168 168 102 102 168 102 168 102 102 168 102 102 102 168,0,0,0,0,0,0
5,11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 122 197 45 45 5 5 221 141 141 6 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 197 192 3 140 3 140 3 140 3 140 140 6 91 195 195 5 197 192 6 128 91,0,0,0,0,0,0
6,311 240 240 78 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 78 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 78 78 78 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 78 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 78 78 219,0,0,0,0,0,0
7,63 174 11 33 6 6 5 5 5 197 192 192 125 125 125 125 54 45 192 197 197 174 174 174 174 174 195 6 195 3 6 91 192 195 3 6 5 6 5 3 6 91 195 3 3 3 6 91 195 6 91 195 6 91 6 6 6 6 195 5 6 6 3 201 199 3 6 196 85 195 5 6 5 195 6 3 192 6 6 6 5 197 3 3 3 3 91 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 195 195 5 221 195 3 6 197 195 91 195 3 195 195 195 195 3 195 195 195 5 3 6 195 5 5 195 5 195 6 195 3 6 6 3 6 91 195 3 6 5 6 5 6 91 6 6 195 5 5 5 6 197 3 192 6 91 195 5 3 6 6 195 5 5 3 6 3 3 6 91 6 5 5 5 6 3 6 195 192 6 5 5 6 6 195 195 195 195 195 197 4,0,0,0,0,0,0
8,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 20 174 201 45 45 64 195 195 5 221 6 221 174 174 174 174 174 174 3 5 221 6 221 3 195 5 221 6 221 3 3 6 195 201 195 195 195 120 5 12 200 199 60 63 63 63 191 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 114 195 195 195 195 120 114 3 6 5 221 6 221 3 3 195 5 221 6 221 3 3 6 3 6 195 195 195 120 114 221 5 141 196 196 196 196 196 196 196 196 196 196 141 6 5 141 196 196 196 196 196 196 196 196 196 196 141 6 195 3,0,0,0,0,0,0
9,6 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 192 192 243 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 174 45 45 254 42 221 221 255 255 5 3 6 102 221 102 102 255 255 255 256 265 102 255 255 256 265 3 255 255 255 265 6 6 6,0,0,0,0,0,0
